,anterior_reticular_formation_LEFT,anterior_reticular_formation_RIGHT,caudal_hypothalamus_LEFT,caudal_hypothalamus_RIGHT,cerebellum_LEFT,cerebellum_RIGHT,glossopharyngeal_ganglion_LEFT,glossopharyngeal_ganglion_RIGHT,habenula_LEFT,habenula_RIGHT,inferior_olive_LEFT,inferior_olive_RIGHT,intermediate_hypothalamus_LEFT,intermediate_hypothalamus_RIGHT,intermediate_reticular_formation_LEFT,intermediate_reticular_formation_RIGHT,interpeduncular_nucleus_LEFT,interpeduncular_nucleus_RIGHT,medial_octavolateral_nucleus_LEFT,medial_octavolateral_nucleus_RIGHT,MO_stripe_1_LEFT,MO_stripe_1_RIGHT,MO_stripe_2_LEFT,MO_stripe_2_RIGHT,MO_stripe_3_LEFT,MO_stripe_3_RIGHT,MO_stripe_4_LEFT,MO_stripe_4_RIGHT,MO_stripe_5_LEFT,MO_stripe_5_RIGHT,octaval_ganglion_LEFT,octaval_ganglion_RIGHT,olfactory_bulb_LEFT,olfactory_bulb_RIGHT,olfactory_epithelium_LEFT,olfactory_epithelium_RIGHT,pallium_LEFT,pallium_RIGHT,pituitary_LEFT,pituitary_RIGHT,posterior_reticular_formation_LEFT,posterior_reticular_formation_RIGHT,posterior_teberculum_LEFT,posterior_teberculum_RIGHT,preoptic_region_LEFT,preoptic_region_RIGHT,pretectum_LEFT,pretectum_RIGHT,raphe_nucleus_LEFT,raphe_nucleus_RIGHT,retina_LEFT,retina_RIGHT,rostral_hypothalamus_LEFT,rostral_hypothalamus_RIGHT,subpallium_LEFT,subpallium_RIGHT,tectum_LEFT,tectum_RIGHT,tegmentum_LEFT,tegmentum_RIGHT,thalamus_LEFT,thalamus_RIGHT,torus_longitudinalis_LEFT,torus_longitudinalis_RIGHT,torus_semicircularis_LEFT,torus_semicircularis_RIGHT,trigeminal_ganglion_LEFT,trigeminal_ganglion_RIGHT,vagal_region_LEFT,vagal_region_RIGHT,vagus_motor_neurons_LEFT,vagus_motor_neurons_RIGHT
anterior_reticular_formation_LEFT,0,0.133980771,0.036883511,0.031464101,0.029494423,0.023161111,0,0,0.000520843,0,0.022058412,0.000668094,0.139482313,0.071770947,0.30500028,0.086054755,0.154166571,0.031856677,0.012263042,0.025451676,0.107770949,0.016894119,0.000734429,0.001243663,0.067308006,0.056815596,0.024212977,0.013284599,0.017742125,0.026466935,0.006879069,0.000390743,0,0,0,0,0.007863359,0.006553936,0.00089977,0,0.246068032,0.065230259,0.023596946,0.00996408,0.010274653,0.011786091,0.040410609,0.013546818,0.288658568,0.135178288,0,0,0.00683216,0.008713609,0.01229874,0.007141423,0.010682951,0.003347395,0.132864179,0.044356619,0.105030628,0.041421415,0,0,0.103328595,0.049794875,0.00113496,0,0.001357472,0.003148362,0.002355613,0.000751785
anterior_reticular_formation_RIGHT,0.133980771,0,0.037170595,0.049802641,0.025109227,0.024081077,0,0,0,0.000815832,0.001177367,0.017084086,0.081974885,0.145156113,0.082955772,0.306665336,0.042841549,0.147803297,0.023428115,0.015390675,0.017835405,0.134825361,0.001685602,0.000241392,0.054366805,0.081162702,0.019917532,0.020734226,0.030321641,0.013624105,0.000374882,0.006118457,0,0,0,0,0.008833927,0.008174896,0,0.000947675,0.065338477,0.247768718,0.006954215,0.031014569,0.013624772,0.011320699,0.013309289,0.040412475,0.136242022,0.298627624,0,0,0.004543568,0.013748257,0.008018148,0.011558394,0.003299215,0.009493223,0.043682158,0.126792749,0.040265503,0.101837561,0,0,0.04896974,0.094072351,0,0.002078134,0.002254191,0.001859533,0.000664217,0.001608693
caudal_hypothalamus_LEFT,0.036883511,0.037170595,0,0.043437103,0,0,0,0,0.000634534,0,0,0,0.0597861,0.041440053,0.000936526,0.001001396,0.06878248,0.05400836,0,0,0.008344532,0.010662026,0,0,0,0,0,0,0,0,0.00319427,0,0,0,0,0,0.00160784,0.000921153,0,0,0.003951319,0,0.002713158,0.002652709,0.004348388,0.00357013,0.002435936,0,0.057358586,0.054743666,0,0,0,0.000347178,0.006291597,0.005999604,0.0013917,0,0.000604745,0,0.002351965,0.000338952,0,0,0.002560595,0,0,0,0,0,0,0
caudal_hypothalamus_RIGHT,0.031464101,0.049802641,0.043437103,0,0,0,0,0,0,0.000578618,0,0,0.047942465,0.064247658,0.00118297,0.000930946,0.066877438,0.070962371,0,0,0.010792325,0.01138254,0,0,0,0,0,0,0,0,0,0.003377547,0,0,0,0,0.00082456,0.001722564,0,0,0,0.004038215,0.002258454,0.005622147,0.003561482,0.005818502,0,0.002259818,0.072827487,0.057948661,0,0,0,0,0.003925542,0.005940294,0,0.001551435,0,0.000519475,0.000363043,0.003077109,0,0,0,0.002395574,0,0,0,0,0,0
cerebellum_LEFT,0.029494423,0.025109227,0,0,0,0.080301553,0,0,0,0,0.000235757,0,0.004866501,0.003660341,0.012459803,0.017526539,0.003848471,0.007878595,0.062005841,0.028611587,0.02807318,0.005408157,0.000812164,0.000341248,0.039778082,0.011765322,0.010182614,0.005181043,0.007801092,0.005334586,0,0,0,0,0,0,0.00022226,0.000133573,0,0,0.013633368,0.020518109,0.000210927,0.001919308,0,0.000120979,0.014506209,0.010106492,0.020197104,0.022673997,0,0,0,0,0.00042242,0.000251386,0.001012212,0.000651047,0.027746448,0.023904929,0.009759486,0.008240111,0.001661593,0.001749117,0.002030304,0.003945575,0.000198722,0,0.000745404,0,0.000256226,0
cerebellum_RIGHT,0.023161111,0.024081077,0,0,0.080301553,0,0,0,0,0,0.000723305,0,0.003729299,0.005073085,0.017646636,0.011763031,0.008393046,0.00474804,0.025498252,0.061474989,0.005971563,0.021702514,0.000646899,0.000448479,0.008240131,0.042411139,0.005488076,0.007932781,0.003535677,0.005447533,0,0,0,0,0,0,0,0.000137844,0,0,0.019264596,0.011279351,0.001805063,0,0,0,0.009262561,0.014272338,0.019524681,0.020424114,0,0,0,0,0,0.000108036,0.000493327,0.000880019,0.024645569,0.027921575,0.008969853,0.009601034,0.001762709,0.001605563,0.00355372,0.001470534,0,5.92E-05,0,0.001322303,0,0.000219017
glossopharyngeal_ganglion_LEFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001253012,0,0.001763239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004314288,0,0.000600288,0
glossopharyngeal_ganglion_RIGHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001776303,0,0.003231484,0,0,0,0,0,0,0,0,0,0,0,0.00014938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003983751,0,0
habenula_LEFT,0.000520843,0,0.000634534,0,0,0,0,0,0,0.071337898,0,0,0.002845882,0.002467563,0.000475754,0,0.005611034,0.003971073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001567681,0.001383428,0,0,0.009515698,0.007296869,0,0,0.000493447,0,0.000558899,0.001358577,0,0.000571212,0.000298942,0,0.001007177,0,0,0,0.000773402,0.000769598,0.002407549,0.002714748,0,0,0,0,0.018491157,0.014541294,0.000201989,0.00044821,0,0,0,0,0,0,0,0
habenula_RIGHT,0,0.000815832,0,0.000578618,0,0,0,0,0.071337898,0,0,0,0.002569715,0.002470056,0,0.00050925,0.003670424,0.005612196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001316645,0.001482359,0,0,0.008208786,0.008454714,0,0,0,0.000614227,0.000608174,0.001389388,0,0.002934495,0,0.000511169,0.000424735,0.000787936,0,0,0.000650241,0.000878424,0.002229152,0.002811324,0,0,0,0,0.014808703,0.019795277,0.000535114,0.00018523,0,0,0,0,0,0,0,0
