# Directed graph: /mnt/e/dhh-soltesz-lab/zfish-proj/src-parallel/operation-figgeritout/comp-modeling/mouse-notebooks/baseline.txt 
# Nodes: 119 Edges: 546
# FromNodeId	ToNodeId
0	65
0	71
0	76
0	77
0	90
0	92
0	96
0	98
0	100
0	102
0	114
0	117
1	67
1	75
1	77
1	97
1	104
1	114
1	115
2	65
2	77
2	79
2	89
2	98
2	101
2	107
3	11
3	18
3	39
3	65
3	70
3	82
4	77
4	81
4	90
4	102
4	107
4	118
5	45
5	68
5	77
5	80
5	95
5	96
5	104
6	65
6	70
6	72
6	76
6	113
7	40
7	66
7	75
7	77
7	80
7	91
7	92
7	93
7	99
7	105
7	114
8	12
8	60
8	70
8	72
8	85
8	87
8	92
8	96
8	100
8	114
9	11
9	67
9	70
9	92
9	114
10	4
10	8
10	32
10	81
10	82
10	113
11	33
11	71
11	84
11	94
11	99
11	104
11	108
12	13
12	79
12	80
12	86
12	88
12	104
12	108
12	113
12	115
13	66
13	71
13	74
13	77
13	85
13	95
13	104
13	114
14	29
14	33
14	54
14	67
14	74
14	93
14	94
14	97
14	106
14	107
14	109
15	44
15	77
15	78
15	84
15	88
15	91
15	118
16	69
16	72
16	78
16	91
16	102
16	104
16	109
17	21
17	33
17	36
17	52
17	65
17	77
17	86
17	90
17	94
17	95
17	96
17	97
17	102
17	103
17	105
17	117
18	66
18	75
18	82
18	84
18	88
18	89
18	92
18	116
19	23
19	55
19	71
19	74
19	81
19	94
19	99
19	105
19	107
19	109
20	22
20	55
20	77
20	84
20	95
20	107
20	113
21	70
21	72
21	75
21	76
21	78
21	83
21	88
21	104
21	107
21	113
21	114
22	70
22	72
22	75
22	84
22	90
22	99
22	111
22	113
22	117
23	40
23	81
23	91
24	34
24	74
24	79
24	95
24	106
24	112
24	117
25	19
25	76
25	84
25	106
26	1
26	10
26	69
26	72
26	78
26	103
26	115
27	40
27	77
27	105
28	72
28	91
28	92
28	94
28	98
28	114
28	115
29	5
29	38
29	77
29	81
29	114
29	115
30	13
30	27
30	68
30	81
30	95
30	97
30	103
30	107
30	118
31	83
31	85
31	91
31	100
31	103
31	109
31	112
31	113
31	114
31	115
32	33
32	65
32	73
32	80
32	92
32	94
32	96
32	105
33	23
33	86
33	89
33	92
33	106
33	115
34	39
34	65
34	91
34	93
34	95
34	97
34	102
35	34
35	95
35	97
35	100
35	109
36	28
36	65
36	79
36	106
36	110
36	114
37	61
37	74
37	84
37	85
37	93
37	105
37	106
37	117
38	1
38	65
38	79
38	90
38	112
39	41
39	70
39	76
39	81
39	87
39	88
39	89
39	93
39	98
39	106
39	113
40	13
40	69
40	88
40	93
40	105
40	110
40	117
40	118
41	54
41	66
41	68
41	70
41	71
41	76
41	85
41	96
41	115
42	23
42	28
42	47
42	70
42	76
42	86
42	89
42	101
42	109
42	115
43	5
43	14
43	80
43	90
43	104
43	111
44	18
44	23
44	33
44	57
44	77
44	80
44	96
44	98
44	100
44	102
45	67
45	87
45	101
45	114
46	56
46	72
46	73
46	80
46	92
46	104
46	110
46	113
47	45
47	46
47	53
47	68
47	81
47	92
47	105
47	108
47	109
48	18
48	72
48	112
49	61
49	71
49	77
49	83
49	84
50	51
50	67
50	68
50	81
50	91
50	98
50	114
51	8
51	69
51	78
51	83
51	88
51	101
51	107
52	67
52	75
52	76
52	78
52	95
52	102
52	105
52	106
52	112
52	114
52	117
53	59
53	82
53	83
53	89
53	96
53	98
53	111
53	113
54	11
54	69
54	77
54	115
55	56
55	65
55	72
55	78
55	80
55	94
55	107
55	111
55	117
56	40
56	55
56	82
56	86
56	89
56	92
56	95
56	110
56	114
57	64
57	91
57	92
57	106
57	107
57	108
57	116
58	11
58	22
58	92
58	94
58	105
58	107
58	111
58	115
59	66
59	81
59	87
59	94
59	104
59	111
59	113
60	65
60	77
60	83
60	87
60	89
60	101
60	114
60	117
61	59
61	77
61	104
61	115
62	11
62	72
62	76
62	92
62	96
62	106
63	67
63	75
63	85
63	89
63	105
64	55
64	70
64	89
64	96
64	101
64	104
64	110
66	116
67	92
68	99
69	77
72	69
72	114
73	77
73	105
75	115
76	105
79	67
79	91
79	94
79	99
80	104
82	77
87	64
87	81
90	89
90	97
90	116
92	89
93	73
93	106
96	86
96	98
97	99
97	113
98	92
99	101
99	115
99	116
100	65
101	77
103	72
104	65
104	115
105	89
106	77
106	88
107	87
107	99
108	114
109	73
109	85
109	97
109	101
109	104
109	106
110	70
110	72
110	86
110	112
110	115
111	104
113	88
113	117
116	65
116	67
117	99
118	95
118	114
118	116
